DATE,Total.Accidents,Minimum.temperature.Degree.C,Maximum.temperature.Degree.C,Temperature.range.Degree.C,Rainfall.amount.millimetres,EHF
30/01/2016,4,11.6,24.3,12.7,12.6,0.00
31/01/2016,2,14,25.2,11.2,19.6,0.00
1/02/2016,3,11.7,26.2,14.5,0.2,0.00
2/02/2016,2,12.9,29.4,16.5,0,0.00
3/02/2016,2,18.5,21.4,2.9,0.2,0.00
4/02/2016,2,13.5,26.4,12.9,1,0.00
5/02/2016,6,13.3,24.6,11.3,0,0.00
6/02/2016,1,14.5,28,13.5,0,0.00
7/02/2016,9,11.6,33.9,22.3,0,0.00
8/02/2016,6,18,27.3,9.3,0,0.00
9/02/2016,1,12,29.1,17.1,0,0.00
10/02/2016,5,13.4,28.2,14.8,0,0.00
11/02/2016,3,10.8,27.6,16.8,0.2,0.00
12/02/2016,3,11.2,29.2,18,0,0.00
13/02/2016,2,14.2,36.2,22,0,0.00
14/02/2016,3,15.9,25.3,9.4,0,0.00
15/02/2016,1,10,25.5,15.5,0,0.00
16/02/2016,2,12.7,21.1,8.4,1.8,0.00
17/02/2016,6,11.6,21.5,9.9,0.4,0.00
18/02/2016,4,13.3,22.8,9.5,2.6,0.00
19/02/2016,2,11.8,26.3,14.5,0.2,0.00
20/02/2016,5,13.7,22.5,8.8,0.2,0.00
21/02/2016,3,9.5,27.3,17.8,0,0.00
22/02/2016,5,10.9,28.8,17.9,0,7.51
23/02/2016,4,16.2,40.6,24.4,0.2,15.33
24/02/2016,7,20,33.4,13.4,0,0.00
25/02/2016,1,17.6,28.8,11.2,0,0.00
26/02/2016,2,15.1,24.4,9.3,0,0.00
27/02/2016,6,10.8,26.9,16.1,0,0.00
28/02/2016,3,15.6,25.6,10,0,0.00
29/02/2016,2,13.9,27,13.1,0,0.00
1/03/2016,2,15.9,34.1,18.2,0,3.06
2/03/2016,4,13.4,36.4,23,0,1.76
3/03/2016,2,16.7,29.5,12.8,0,0.00
4/03/2016,3,14.4,33.9,19.5,0,0.34
5/03/2016,3,17.6,23.4,5.8,0.6,0.00
6/03/2016,5,18.1,34.4,16.3,0,5.95
7/03/2016,1,17.8,27.6,9.8,0,1.26
8/03/2016,2,19.9,32.7,12.8,1.4,0.00
9/03/2016,2,15.7,30.2,14.5,0,0.00
10/03/2016,6,17.9,22.6,4.7,1.4,0.00
11/03/2016,7,18.9,31,12.1,10,0.00
12/03/2016,4,18.1,27.5,9.4,0,0.00
13/03/2016,6,18.3,27.2,8.9,0,0.00
14/03/2016,8,17.7,23.2,5.5,0.2,0.00
15/03/2016,0,15.8,21,5.2,1.4,0.00
16/03/2016,0,16.9,26.2,9.3,0,0.00
17/03/2016,0,13,31.9,18.9,0,0.00
18/03/2016,5,15.1,16.2,1.1,27.2,0.00
19/03/2016,0,11,18.7,7.7,4.8,0.00
20/03/2016,5,4.6,20.3,15.7,0,0.00
21/03/2016,4,7.3,21.6,14.3,0.2,0.00
22/03/2016,5,12.2,23.3,11.1,0,0.00
23/03/2016,2,7.6,28.8,21.2,0,0.00
24/03/2016,1,12.2,22.4,10.2,0.2,0.00
25/03/2016,7,14.3,23,8.7,0,0.00
26/03/2016,10,11.6,21.3,9.7,0,0.00
27/03/2016,2,13,19.2,6.2,0,0.00
28/03/2016,1,11.9,17.4,5.5,0,0.00
29/03/2016,2,12.9,17.3,4.4,0,0.00
30/03/2016,4,12.4,17.8,5.4,0.4,0.00
31/03/2016,1,6.8,24.3,17.5,1,0.00
1/04/2016,1,7.6,26.2,18.6,0,0.00
2/04/2016,2,11.2,20.2,9,0,0.00
3/04/2016,5,5.2,20.5,15.3,0,0.00
4/04/2016,1,4.3,21.7,17.4,0.2,0.00
5/04/2016,3,6.8,29.7,22.9,0,0.00
6/04/2016,3,13.4,14.8,1.4,1.6,0.00
7/04/2016,4,8,17.7,9.7,15.6,0.00
8/04/2016,2,9.3,20.3,11,0,0.00
9/04/2016,5,4.3,20.3,16,0,0.00
10/04/2016,0,10.3,21.8,11.5,0,0.00
11/04/2016,1,13.8,20.3,6.5,0,0.00
12/04/2016,1,12.8,20.2,7.4,0.6,0.00
13/04/2016,0,10.1,19.8,9.7,0,0.00
14/04/2016,4,11.5,25.4,13.9,0,0.00
15/04/2016,4,11,26.6,15.6,0,0.00
16/04/2016,4,10.7,21.1,10.4,0,0.00
17/04/2016,5,10,18.7,8.7,0,0.00
18/04/2016,0,9.1,24.1,15,0,0.00
19/04/2016,5,6.9,27.2,20.3,0,0.00
20/04/2016,3,7.2,27.6,20.4,0,0.00
21/04/2016,1,7.9,24.6,16.7,0,0.00
22/04/2016,2,12.3,18.4,6.1,9.2,0.00
23/04/2016,4,9.6,19,9.4,0.2,0.00
24/04/2016,8,5.3,21.8,16.5,0.2,0.00
25/04/2016,3,6.7,24.2,17.5,0.2,0.00
26/04/2016,2,4.2,25.1,20.9,0,0.00
27/04/2016,4,2.8,26.9,24.1,0,0.00
28/04/2016,4,10.5,22.9,12.4,0,0.00
29/04/2016,3,11.2,18.2,7,0,0.00
30/04/2016,3,10.9,25.7,14.8,3.6,0.00
1/05/2016,2,11.2,18.2,7,6.4,0.00
2/05/2016,2,4.6,18.9,14.3,4.4,0.00
3/05/2016,5,11,22.6,11.6,0,0.00
4/05/2016,0,9,17.4,8.4,2.8,0.00
5/05/2016,4,4.5,21.5,17,0,0.00
6/05/2016,0,5.3,26.2,20.9,0,0.00
7/05/2016,5,6.9,25.9,19,0,0.00
8/05/2016,2,8.1,15.6,7.5,0.6,0.00
9/05/2016,3,11.6,18.5,6.9,4.8,0.00
10/05/2016,4,10.5,16.7,6.2,4.8,0.00
11/05/2016,3,9.5,16.2,6.7,11.8,0.00
12/05/2016,3,12.6,19.1,6.5,1,0.00
13/05/2016,2,14.6,19.8,5.2,0,0.00
14/05/2016,5,3.4,22.8,19.4,0,0.00
15/05/2016,5,8.9,20.6,11.7,0,0.00
