DATE,REGION,FATAL,SERIOUS,NOINJURY,OTHER,Minimum.temperature.Degree.C,Maximum.temperature.Degree.C,Rainfall.amount.millimetres
1/01/2016,EASTERN REGION,0,1,0,5,15.9,34.7,0
2/01/2016,EASTERN REGION,0,3,0,1,17,21.5,0
3/01/2016,EASTERN REGION,0,1,0,5,15,19,2
4/01/2016,EASTERN REGION,0,2,0,2,14.7,17.4,0.4
5/01/2016,EASTERN REGION,0,1,0,6,14.6,24.2,4.2
6/01/2016,EASTERN REGION,0,2,0,1,16.1,24.7,3.6
7/01/2016,EASTERN REGION,0,0,0,2,12.8,26.6,0
8/01/2016,EASTERN REGION,0,1,0,1,14.2,25.6,0
9/01/2016,EASTERN REGION,0,1,0,5,11.9,27.8,0
10/01/2016,EASTERN REGION,1,1,0,2,10.4,33.4,0
11/01/2016,EASTERN REGION,0,0,0,4,14.4,37.9,0
12/01/2016,EASTERN REGION,0,1,0,0,15.2,31.4,0
13/01/2016,EASTERN REGION,0,0,0,0,15,37.5,0
14/01/2016,EASTERN REGION,0,4,0,4,16.1,18.8,0.4
15/01/2016,EASTERN REGION,0,0,0,2,8.6,22.4,6.6
16/01/2016,EASTERN REGION,0,2,0,1,5.9,25.9,0
17/01/2016,EASTERN REGION,0,2,0,3,11.4,30.3,0
18/01/2016,EASTERN REGION,0,0,0,3,12.6,36.4,0
19/01/2016,EASTERN REGION,0,0,0,4,15.5,36.9,0
20/01/2016,EASTERN REGION,0,1,0,5,16.6,25.8,2.4
21/01/2016,EASTERN REGION,0,1,0,0,16,28.7,5
22/01/2016,EASTERN REGION,0,0,0,5,16.7,21,0.2
23/01/2016,EASTERN REGION,0,1,0,2,16.2,25.2,9.2
24/01/2016,EASTERN REGION,0,1,0,3,15.3,24.3,0.4
25/01/2016,EASTERN REGION,0,0,0,4,12.6,26.1,0
26/01/2016,EASTERN REGION,0,1,0,1,16.8,24.9,0.4
27/01/2016,EASTERN REGION,0,2,0,2,17.8,30.3,3.6
28/01/2016,EASTERN REGION,1,1,0,2,15,30.7,0.2
29/01/2016,EASTERN REGION,0,1,0,2,15.7,16.9,49.6
30/01/2016,EASTERN REGION,0,1,0,3,11.6,24.3,12.6
31/01/2016,EASTERN REGION,0,1,0,1,14,25.2,19.6
1/02/2016,EASTERN REGION,0,0,0,3,11.7,26.2,0.2
2/02/2016,EASTERN REGION,0,1,0,1,12.9,29.4,0
3/02/2016,EASTERN REGION,0,0,0,2,18.5,21.4,0.2
4/02/2016,EASTERN REGION,1,0,0,1,13.5,26.4,1
5/02/2016,EASTERN REGION,0,3,0,3,13.3,24.6,0
6/02/2016,EASTERN REGION,0,0,0,1,14.5,28,0
7/02/2016,EASTERN REGION,0,8,0,1,11.6,33.9,0
8/02/2016,EASTERN REGION,1,0,0,5,18,27.3,0
9/02/2016,EASTERN REGION,0,1,0,0,12,29.1,0
10/02/2016,EASTERN REGION,0,1,0,4,13.4,28.2,0
11/02/2016,EASTERN REGION,0,1,0,2,10.8,27.6,0.2
12/02/2016,EASTERN REGION,0,2,0,1,11.2,29.2,0
13/02/2016,EASTERN REGION,0,1,0,1,14.2,36.2,0
14/02/2016,EASTERN REGION,0,0,0,3,15.9,25.3,0
15/02/2016,EASTERN REGION,0,0,0,1,10,25.5,0
16/02/2016,EASTERN REGION,0,1,0,1,12.7,21.1,1.8
17/02/2016,EASTERN REGION,0,3,0,3,11.6,21.5,0.4
18/02/2016,EASTERN REGION,0,2,0,2,13.3,22.8,2.6
19/02/2016,EASTERN REGION,0,0,0,2,11.8,26.3,0.2
20/02/2016,EASTERN REGION,1,2,0,2,13.7,22.5,0.2
21/02/2016,EASTERN REGION,0,1,0,2,9.5,27.3,0
22/02/2016,EASTERN REGION,1,0,0,4,10.9,28.8,0
23/02/2016,EASTERN REGION,1,0,0,3,16.2,40.6,0.2
24/02/2016,EASTERN REGION,0,2,0,5,20,33.4,0
25/02/2016,EASTERN REGION,0,1,0,0,17.6,28.8,0
26/02/2016,EASTERN REGION,1,1,0,0,15.1,24.4,0
27/02/2016,EASTERN REGION,0,3,0,3,10.8,26.9,0
28/02/2016,EASTERN REGION,0,1,0,2,15.6,25.6,0
29/02/2016,EASTERN REGION,0,0,0,2,13.9,27,0
1/03/2016,EASTERN REGION,1,1,0,0,15.9,34.1,0
2/03/2016,EASTERN REGION,0,1,0,3,13.4,36.4,0
3/03/2016,EASTERN REGION,1,0,0,1,16.7,29.5,0
4/03/2016,EASTERN REGION,0,1,0,2,14.4,33.9,0
5/03/2016,EASTERN REGION,0,0,0,3,17.6,23.4,0.6
6/03/2016,EASTERN REGION,0,1,0,4,18.1,34.4,0
7/03/2016,EASTERN REGION,0,0,0,1,17.8,27.6,0
8/03/2016,EASTERN REGION,0,1,0,1,19.9,32.7,1.4
9/03/2016,EASTERN REGION,0,1,0,1,15.7,30.2,0
10/03/2016,EASTERN REGION,0,1,0,5,17.9,22.6,1.4
11/03/2016,EASTERN REGION,0,4,0,3,18.9,31,10
12/03/2016,EASTERN REGION,0,0,0,4,18.1,27.5,0
13/03/2016,EASTERN REGION,0,2,0,4,18.3,27.2,0
14/03/2016,EASTERN REGION,1,2,0,5,17.7,23.2,0.2
15/03/2016,EASTERN REGION,0,0,0,0,15.8,21,1.4
16/03/2016,EASTERN REGION,0,0,0,0,16.9,26.2,0
17/03/2016,EASTERN REGION,0,0,0,0,13,31.9,0
18/03/2016,EASTERN REGION,0,0,0,5,15.1,16.2,27.2
19/03/2016,EASTERN REGION,0,0,0,0,11,18.7,4.8
20/03/2016,EASTERN REGION,0,2,0,3,4.6,20.3,0
21/03/2016,EASTERN REGION,0,2,0,2,7.3,21.6,0.2
22/03/2016,EASTERN REGION,0,0,0,5,12.2,23.3,0
23/03/2016,EASTERN REGION,0,1,0,1,7.6,28.8,0
24/03/2016,EASTERN REGION,0,0,0,1,12.2,22.4,0.2
25/03/2016,EASTERN REGION,0,5,0,2,14.3,23,0
26/03/2016,EASTERN REGION,0,3,0,7,11.6,21.3,0
27/03/2016,EASTERN REGION,0,0,0,2,13,19.2,0
28/03/2016,EASTERN REGION,0,1,0,0,11.9,17.4,0
29/03/2016,EASTERN REGION,0,0,0,2,12.9,17.3,0
30/03/2016,EASTERN REGION,1,1,0,2,12.4,17.8,0.4
31/03/2016,EASTERN REGION,0,1,0,0,6.8,24.3,1
1/04/2016,EASTERN REGION,0,1,0,0,7.6,26.2,0
2/04/2016,EASTERN REGION,0,0,0,2,11.2,20.2,0
3/04/2016,EASTERN REGION,0,2,0,3,5.2,20.5,0
4/04/2016,EASTERN REGION,0,1,0,0,4.3,21.7,0.2
5/04/2016,EASTERN REGION,0,2,0,1,6.8,29.7,0
6/04/2016,EASTERN REGION,0,0,0,3,13.4,14.8,1.6
7/04/2016,EASTERN REGION,0,1,0,3,8,17.7,15.6
8/04/2016,EASTERN REGION,0,1,0,1,9.3,20.3,0
9/04/2016,EASTERN REGION,0,3,0,2,4.3,20.3,0
10/04/2016,EASTERN REGION,0,0,0,0,10.3,21.8,0
11/04/2016,EASTERN REGION,0,0,0,1,13.8,20.3,0
12/04/2016,EASTERN REGION,0,0,0,1,12.8,20.2,0.6
13/04/2016,EASTERN REGION,0,0,0,0,10.1,19.8,0
14/04/2016,EASTERN REGION,0,2,0,2,11.5,25.4,0
15/04/2016,EASTERN REGION,0,0,0,4,11,26.6,0
16/04/2016,EASTERN REGION,0,1,0,3,10.7,21.1,0
17/04/2016,EASTERN REGION,0,4,0,1,10,18.7,0
18/04/2016,EASTERN REGION,0,0,0,0,9.1,24.1,0
19/04/2016,EASTERN REGION,0,2,0,3,6.9,27.2,0
20/04/2016,EASTERN REGION,0,1,0,2,7.2,27.6,0
21/04/2016,EASTERN REGION,0,1,0,0,7.9,24.6,0
22/04/2016,EASTERN REGION,0,0,0,2,12.3,18.4,9.2
23/04/2016,EASTERN REGION,0,1,0,3,9.6,19,0.2
24/04/2016,EASTERN REGION,0,3,0,5,5.3,21.8,0.2
25/04/2016,EASTERN REGION,0,1,0,2,6.7,24.2,0.2
26/04/2016,EASTERN REGION,0,0,0,2,4.2,25.1,0
27/04/2016,EASTERN REGION,0,0,0,4,2.8,26.9,0
28/04/2016,EASTERN REGION,0,3,0,1,10.5,22.9,0
29/04/2016,EASTERN REGION,0,1,0,2,11.2,18.2,0
30/04/2016,EASTERN REGION,0,2,0,1,10.9,25.7,3.6
1/05/2016,EASTERN REGION,0,0,0,2,11.2,18.2,6.4
2/05/2016,EASTERN REGION,0,1,0,1,4.6,18.9,4.4
3/05/2016,EASTERN REGION,0,1,0,4,11,22.6,0
4/05/2016,EASTERN REGION,0,0,0,0,9,17.4,2.8
5/05/2016,EASTERN REGION,0,0,0,4,4.5,21.5,0
6/05/2016,EASTERN REGION,0,0,0,0,5.3,26.2,0
7/05/2016,EASTERN REGION,0,1,0,4,6.9,25.9,0
8/05/2016,EASTERN REGION,0,0,0,2,8.1,15.6,0.6
9/05/2016,EASTERN REGION,0,0,0,3,11.6,18.5,4.8
10/05/2016,EASTERN REGION,0,1,0,3,10.5,16.7,4.8
11/05/2016,EASTERN REGION,0,1,0,2,9.5,16.2,11.8
12/05/2016,EASTERN REGION,0,0,0,3,12.6,19.1,1
13/05/2016,EASTERN REGION,0,0,0,2,14.6,19.8,0
14/05/2016,EASTERN REGION,0,1,0,4,3.4,22.8,0
15/05/2016,EASTERN REGION,0,3,0,2,8.9,20.6,0
16/05/2016,EASTERN REGION,0,1,0,2,2.1,20.3,0
17/05/2016,EASTERN REGION,0,1,0,1,7.6,17.3,0.4
18/05/2016,EASTERN REGION,0,2,0,2,8.4,18.1,0
19/05/2016,EASTERN REGION,0,1,0,2,11.1,18.6,0
20/05/2016,EASTERN REGION,0,0,0,1,11.5,17.8,7
21/05/2016,EASTERN REGION,0,5,0,3,2.5,18,0
22/05/2016,EASTERN REGION,0,0,0,1,4.6,23,0.2
23/05/2016,EASTERN REGION,0,2,0,4,6.5,15,3.8
24/05/2016,EASTERN REGION,0,0,0,0,9.8,15,5.4
25/05/2016,EASTERN REGION,0,0,0,2,2.9,13.9,0.2
26/05/2016,EASTERN REGION,0,2,0,4,6.6,11.6,2.6
27/05/2016,EASTERN REGION,0,1,0,0,7.6,13.6,5.6
28/05/2016,EASTERN REGION,0,1,0,1,1.9,14,3
29/05/2016,EASTERN REGION,0,0,0,0,5.9,14.3,0.4
30/05/2016,EASTERN REGION,0,1,0,0,-0.4,14.6,0.2
31/05/2016,EASTERN REGION,0,1,0,2,2.7,15,0
1/06/2016,EASTERN REGION,0,0,0,1,0.8,15.7,0
2/06/2016,EASTERN REGION,0,1,0,0,3.9,14.8,0.2
3/06/2016,EASTERN REGION,0,1,0,3,6.9,15.6,0.2
4/06/2016,EASTERN REGION,0,0,0,4,9,15.2,3
5/06/2016,EASTERN REGION,0,0,0,3,12.4,14.1,6.6
6/06/2016,EASTERN REGION,1,1,0,1,10.1,16,13.6
7/06/2016,EASTERN REGION,0,0,0,1,5.5,16,0
8/06/2016,EASTERN REGION,0,1,0,0,11.1,16.2,0
9/06/2016,EASTERN REGION,0,0,0,3,5.5,17,4
10/06/2016,EASTERN REGION,1,0,0,3,10.1,14.4,6.4
11/06/2016,EASTERN REGION,1,1,0,1,8.7,12.2,2
12/06/2016,EASTERN REGION,0,0,0,5,4.7,13.1,6
13/06/2016,EASTERN REGION,0,2,0,1,-0.5,14.5,0.2
14/06/2016,EASTERN REGION,0,1,0,0,-0.6,14.3,0.2
15/06/2016,EASTERN REGION,0,1,0,2,-0.2,15.1,0
16/06/2016,EASTERN REGION,0,1,0,3,1.5,11.9,0.4
17/06/2016,EASTERN REGION,0,1,0,4,2.2,16.2,2
18/06/2016,EASTERN REGION,0,2,0,2,9.7,12.1,1.6
19/06/2016,EASTERN REGION,0,1,0,0,6.3,12.7,0.6
20/06/2016,EASTERN REGION,0,0,0,3,8.9,12.9,12.2
21/06/2016,EASTERN REGION,0,0,0,1,9.8,15.1,4.6
22/06/2016,EASTERN REGION,0,0,0,1,10.3,15,0.4
23/06/2016,EASTERN REGION,0,0,0,1,9.1,16.3,0.8
24/06/2016,EASTERN REGION,0,1,0,3,3.4,8,9.6
25/06/2016,EASTERN REGION,0,2,0,4,3.1,11.3,14.2
26/06/2016,EASTERN REGION,0,3,0,2,1.3,11.8,0.2
27/06/2016,EASTERN REGION,0,1,0,1,-0.2,11.4,0.2
28/06/2016,EASTERN REGION,0,0,0,0,4,14.8,0.2
29/06/2016,EASTERN REGION,0,1,0,3,4.5,16.3,0
30/06/2016,EASTERN REGION,0,0,0,1,1.7,15.3,0
1/07/2016,EASTERN REGION,0,1,0,2,4.5,12.9,1.6
2/07/2016,EASTERN REGION,0,1,0,1,7.9,15.3,0.2
3/07/2016,EASTERN REGION,0,2,0,2,9.9,15.9,0
4/07/2016,EASTERN REGION,0,0,0,0,2.8,10.9,0
5/07/2016,EASTERN REGION,0,1,0,3,4.8,12.7,7.4
6/07/2016,EASTERN REGION,0,0,0,3,7.5,12.6,36.4
7/07/2016,EASTERN REGION,0,2,0,2,10.1,13.1,2.6
8/07/2016,EASTERN REGION,0,1,0,1,8,12.7,3.8
9/07/2016,EASTERN REGION,0,3,0,1,5.7,13.7,0.2
10/07/2016,EASTERN REGION,0,0,0,1,6.7,13.3,0.2
11/07/2016,EASTERN REGION,0,1,0,3,7.1,17.5,3.8
12/07/2016,EASTERN REGION,0,0,0,1,7,14.1,0
13/07/2016,EASTERN REGION,0,1,0,4,3.6,9.6,6.6
14/07/2016,EASTERN REGION,0,1,0,4,3.7,13.1,3.8
15/07/2016,EASTERN REGION,0,1,0,2,9.4,13.4,0
16/07/2016,EASTERN REGION,1,4,0,2,9.1,14.9,0
17/07/2016,EASTERN REGION,0,2,0,2,-0.7,15.8,0.2
18/07/2016,EASTERN REGION,0,1,0,3,1.1,19.2,0
19/07/2016,EASTERN REGION,0,1,0,1,9.3,14.8,0.2
20/07/2016,EASTERN REGION,0,2,0,2,8.9,16.2,0.6
21/07/2016,EASTERN REGION,0,0,0,1,2.8,15.9,0.2
22/07/2016,EASTERN REGION,0,0,0,0,5.6,16.1,14.4
23/07/2016,EASTERN REGION,1,2,0,1,6.1,8.9,21.6
24/07/2016,EASTERN REGION,1,2,0,4,1,12.4,5.4
25/07/2016,EASTERN REGION,0,2,0,4,1.8,13.5,0
26/07/2016,EASTERN REGION,0,0,0,0,6.9,11.3,6.6
27/07/2016,EASTERN REGION,1,0,0,1,4.6,12.8,0
28/07/2016,EASTERN REGION,0,1,0,2,8,13,1
29/07/2016,EASTERN REGION,0,1,0,1,10.5,14.2,0
30/07/2016,EASTERN REGION,0,0,0,3,6.9,15.9,1
31/07/2016,EASTERN REGION,0,3,0,1,9.1,15.5,1.4
1/08/2016,EASTERN REGION,0,2,0,1,2.6,13.3,0.2
2/08/2016,EASTERN REGION,0,1,0,0,4.1,13.3,8
3/08/2016,EASTERN REGION,0,1,0,1,8.1,13.8,1
4/08/2016,EASTERN REGION,0,1,0,2,2,13.8,0
5/08/2016,EASTERN REGION,0,1,0,0,5.8,14.5,0.2
6/08/2016,EASTERN REGION,0,2,0,1,1.7,12.6,0
7/08/2016,EASTERN REGION,0,0,0,2,4.1,15.2,0
8/08/2016,EASTERN REGION,0,0,0,2,-0.2,13.8,0
9/08/2016,EASTERN REGION,0,0,0,1,-0.2,17.7,0
10/08/2016,EASTERN REGION,0,0,0,0,7,16.1,2.2
11/08/2016,EASTERN REGION,0,0,0,1,6.5,13.8,8
12/08/2016,EASTERN REGION,0,1,0,1,2,14.8,0
13/08/2016,EASTERN REGION,0,2,0,5,5.3,15.6,0.8
14/08/2016,EASTERN REGION,0,1,0,2,6.7,16.7,0
15/08/2016,EASTERN REGION,0,1,0,0,6.9,17.7,0
16/08/2016,EASTERN REGION,0,1,0,2,0.8,20.9,0
17/08/2016,EASTERN REGION,0,0,0,3,4.9,14.8,3
18/08/2016,EASTERN REGION,0,2,0,1,0.2,20.6,0.2
19/08/2016,EASTERN REGION,0,1,0,2,6.7,18.4,0
20/08/2016,EASTERN REGION,0,0,0,2,5.6,12.3,5.6
21/08/2016,EASTERN REGION,0,2,0,4,6.9,15.2,1.4
22/08/2016,EASTERN REGION,1,0,0,1,6.5,14.2,2.8
23/08/2016,EASTERN REGION,0,0,0,2,4,14.3,4.4
24/08/2016,EASTERN REGION,0,0,0,1,0.5,14.1,0.4
25/08/2016,EASTERN REGION,0,3,0,2,3.6,13.3,1.6
26/08/2016,EASTERN REGION,0,1,0,4,3,12.9,1.6
27/08/2016,EASTERN REGION,0,1,0,2,0.8,14.9,0
28/08/2016,EASTERN REGION,0,0,0,4,8.8,17.2,0
29/08/2016,EASTERN REGION,0,1,0,1,2.3,18.7,0
30/08/2016,EASTERN REGION,0,1,0,1,4,14,0
31/08/2016,EASTERN REGION,0,1,0,0,8.2,18,6.8
1/09/2016,EASTERN REGION,0,2,0,2,10.2,16.9,0.6
2/09/2016,EASTERN REGION,0,0,0,0,9.8,13.2,2.2
3/09/2016,EASTERN REGION,0,1,0,3,9.5,13.8,5
4/09/2016,EASTERN REGION,0,0,0,0,9.1,14.8,0
5/09/2016,EASTERN REGION,0,0,0,2,9.6,17.5,0
6/09/2016,EASTERN REGION,0,0,0,2,3.2,19.3,0
7/09/2016,EASTERN REGION,0,1,0,1,10,20.2,0
8/09/2016,EASTERN REGION,0,1,0,0,5.3,23,0.2
9/09/2016,EASTERN REGION,2,0,0,3,10.9,18,0.8
10/09/2016,EASTERN REGION,0,1,0,2,11.7,14.1,12.6
11/09/2016,EASTERN REGION,0,2,0,1,6.9,17,0
12/09/2016,EASTERN REGION,0,1,0,2,9,12.5,4.2
13/09/2016,EASTERN REGION,0,0,0,0,9.1,17.2,1.6
