DATE,REGION,FATAL,SERIOUS,NOINJURY,OTHER
1/01/2016,EASTERN REGION,0,1,0,5
2/01/2016,EASTERN REGION,0,3,0,1
3/01/2016,EASTERN REGION,0,1,0,5
4/01/2016,EASTERN REGION,0,2,0,2
5/01/2016,EASTERN REGION,0,1,0,6
6/01/2016,EASTERN REGION,0,2,0,1
7/01/2016,EASTERN REGION,0,0,0,2
8/01/2016,EASTERN REGION,0,1,0,1
9/01/2016,EASTERN REGION,0,1,0,5
10/01/2016,EASTERN REGION,1,1,0,2
11/01/2016,EASTERN REGION,0,0,0,4
12/01/2016,EASTERN REGION,0,1,0,0
13/01/2016,EASTERN REGION,0,0,0,0
14/01/2016,EASTERN REGION,0,4,0,4
15/01/2016,EASTERN REGION,0,0,0,2
16/01/2016,EASTERN REGION,0,2,0,1
17/01/2016,EASTERN REGION,0,2,0,3
18/01/2016,EASTERN REGION,0,0,0,3
19/01/2016,EASTERN REGION,0,0,0,4
20/01/2016,EASTERN REGION,0,1,0,5
21/01/2016,EASTERN REGION,0,1,0,0
22/01/2016,EASTERN REGION,0,0,0,5
23/01/2016,EASTERN REGION,0,1,0,2
24/01/2016,EASTERN REGION,0,1,0,3
25/01/2016,EASTERN REGION,0,0,0,4
26/01/2016,EASTERN REGION,0,1,0,1
27/01/2016,EASTERN REGION,0,2,0,2
28/01/2016,EASTERN REGION,1,1,0,2
29/01/2016,EASTERN REGION,0,1,0,2
30/01/2016,EASTERN REGION,0,1,0,3
31/01/2016,EASTERN REGION,0,1,0,1
1/02/2016,EASTERN REGION,0,0,0,3
2/02/2016,EASTERN REGION,0,1,0,1
3/02/2016,EASTERN REGION,0,0,0,2
4/02/2016,EASTERN REGION,1,0,0,1
5/02/2016,EASTERN REGION,0,3,0,3
6/02/2016,EASTERN REGION,0,0,0,1
7/02/2016,EASTERN REGION,0,8,0,1
8/02/2016,EASTERN REGION,1,0,0,5
9/02/2016,EASTERN REGION,0,1,0,0
10/02/2016,EASTERN REGION,0,1,0,4
11/02/2016,EASTERN REGION,0,1,0,2
12/02/2016,EASTERN REGION,0,2,0,1
